,C18358,C18359,C3659,CPt91,R181.96,R249.97,R265.95,R290.96,H19127,H19137,H19144,H19147,chimp.expressed,rhesus.expressed,human.expressed,chimp.specific,rhesus.specific,human.specific
ENSG00000174007,15,0,59,20,0,0,0,18,6,0,12,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000174562,0,0,0,0,127,0,52,64,0,0,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
ENSG00000174669,27,75,31,0,0,0,22,12,8,0,2,19,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000174748,1657,5244,5344,2290,0,2,0,1,856,1418,1054,2536,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000174792,0,0,22,0,0,71,15,16,0,0,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
ENSG00000174827,0,0,0,0,58,43,14,0,10,0,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
ENSG00000174837,0,0,4,0,0,1,0,0,93,0,140,3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000174946,0,13,7,0,134,362,317,380,14,35,26,55,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000175029,0,44,0,0,678,473,457,392,6,0,3,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000175175,0,0,0,12,40,64,30,16,0,0,0,4,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
ENSG00000175197,42,55,15,74,0,0,21,1,19,0,10,4,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000175324,0,0,57,0,0,62,0,0,19,0,35,52,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000175489,34,1019,158,133,16,0,0,0,168,103,4,99,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000175711,0,40,27,0,57,45,126,31,52,40,31,73,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000175782,43,40,77,39,0,9,68,0,21,27,68,51,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000175832,23,17,2,81,1,0,0,2,183,137,87,152,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000175899,5019,1862,3062,198,0,0,5,0,3,2,4,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000176029,0,0,1,0,11,255,145,129,0,0,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
ENSG00000176058,49,79,69,24,0,27,0,22,10,9,15,21,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000176105,42,5,54,10,75,0,0,0,11,14,9,20,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000176125,15,0,47,0,156,139,18,37,20,19,41,22,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000176182,0,19,20,0,59,6,16,70,14,19,18,39,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000176386,0,38,102,0,53,118,182,102,19,16,30,33,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000176387,32,75,90,1,154,36,18,51,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000176485,646,700,1024,166,0,0,4,22,402,135,506,213,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000176533,0,0,11,22,19,16,0,14,3,1,3,9,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000176731,252,258,744,643,24,0,1,0,510,348,586,918,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000176894,21,11,42,34,13,0,0,16,9,8,31,12,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000177045,82,216,148,29,0,0,28,25,31,60,49,100,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000177150,31,62,102,76,0,1,0,1,30,10,47,39,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000177410,0,16,8,0,14,1,0,22,1,7,2,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000177427,38,46,60,41,11,0,0,0,29,30,35,57,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000177459,4,0,1,0,1,0,0,0,269,241,456,318,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000177465,140,118,509,188,15,1,0,0,32,28,66,117,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000177469,152,15,68,0,0,0,0,0,13,0,6,5,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000177675,0,18,17,1,0,0,0,0,404,93,14,176,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000177736,2,58,26,24,0,15,0,0,13,21,32,43,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000177738,0,0,9,0,0,0,0,0,3,21,15,5,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000177984,0,0,0,0,70,233,75,86,0,0,2,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
ENSG00000178078,0,29,5,0,0,0,0,0,19,10,50,51,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000178229,0,0,48,36,0,0,0,0,11,0,18,30,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000178445,67,16,196,34,0,2,1,0,159,123,95,197,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000178538,369,88,459,0,0,0,0,0,0,0,0,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000178623,172,396,7,17,0,2,0,12,78,25,24,42,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000178654,0,0,4,0,32,87,67,14,0,0,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000178752,1748,613,3140,1560,1,0,5,0,0,0,1,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000178789,0,0,0,0,0,0,0,0,18,7,7,29,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000179399,181,112,135,139,0,1,0,0,50,79,55,64,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000179588,19,22,9,0,0,0,23,0,12,15,13,36,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000179598,33,0,4,0,0,0,0,1,78,61,32,212,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000179922,0,0,9,0,16,12,0,0,1,8,4,10,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000179934,44,171,50,0,0,0,0,16,257,84,16,293,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000179965,21,33,30,44,0,0,0,0,20,18,3,16,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000180008,0,37,69,0,22,83,42,0,12,7,32,9,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000180190,30,48,214,367,0,39,0,18,0,2,1,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000180284,0,25,33,35,0,0,25,0,3,0,25,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000180613,39,51,172,105,0,0,0,0,2,6,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000180712,160,494,90,0,0,0,0,0,30,2,67,91,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000180758,0,30,8,37,0,0,0,0,65,8,17,17,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000180914,50,58,87,123,0,1,2,0,429,566,769,778,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000180921,0,13,5,0,27,23,21,36,0,1,4,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000180964,23,0,5,0,39,46,0,13,55,35,83,49,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000181004,19,18,15,25,14,58,25,73,0,0,6,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000181039,0,15,8,0,252,71,109,341,5,0,5,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000181163,0,0,2,0,0,0,0,0,456,469,498,932,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000181418,17,9,0,19,39,9,16,22,0,2,0,3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000181481,30,27,15,0,21,70,0,0,15,6,26,58,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000181577,0,28,0,0,0,0,0,0,136,44,35,20,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000181617,165,486,224,229,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000181634,52,634,465,0,0,23,0,0,1,0,1,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000181784,0,9,0,0,28,35,0,14,9,1,7,24,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000181847,0,12,0,0,1140,1713,2164,923,7,0,4,10,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000181885,22,9,943,7,0,0,0,0,0,8,35,33,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000182118,0,1,7,0,15,1,39,155,0,0,1,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000182218,0,11,0,0,827,252,342,798,0,0,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
ENSG00000182318,0,43,55,0,0,23,18,38,26,28,24,63,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000182545,65,169,36,0,0,0,0,0,0,0,1,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000182636,25,12,105,372,0,0,0,0,0,26,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000182866,0,2,0,0,68,1,64,2,142,142,86,329,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000183023,7,0,401,481,0,0,3,0,1,0,20,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000183049,490,640,584,742,0,0,3,1,203,290,256,216,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000183087,13,50,2,22,0,0,0,10,2,0,3,23,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000183098,187,302,454,433,0,0,0,1,2,2,27,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000183154,0,0,6,0,0,0,0,0,2,3,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000183196,99,77,120,455,157,580,436,171,0,0,16,3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000183379,0,0,8,0,105,911,787,1733,0,2,1,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000183570,0,0,0,0,413,153,90,213,7,0,1,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000183760,0,0,0,0,0,7,0,0,293,0,44,16,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000184111,41,170,322,187,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000184343,0,0,3,0,127,26,95,55,0,0,2,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
ENSG00000184349,195,50,314,316,0,0,2,0,52,101,253,161,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000184524,0,0,12,0,1111,834,343,558,26,0,18,5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000184709,143,649,420,441,0,0,0,35,297,62,61,77,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000184900,0,38,0,0,82,58,77,118,459,334,261,718,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000184985,0,137,29,0,87,552,245,269,0,0,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000185090,32,15,8,33,0,0,0,18,5,19,7,16,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000185198,0,0,0,0,403,176,124,761,0,0,0,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
ENSG00000185215,53,709,288,115,9,1,0,0,332,96,164,272,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000185361,0,15,19,0,1,0,0,0,0,14,6,7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000185404,0,0,9,0,23,24,24,3,6,3,18,30,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000185436,81,274,182,30,13,0,18,0,7,0,27,24,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000185482,1,0,0,0,0,20,0,0,87,92,115,247,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000185527,0,0,0,0,0,0,0,0,8,4,27,11,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000185551,10,0,87,506,0,1,0,0,8,27,25,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000185651,0,0,2,0,0,0,0,0,175,237,193,313,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000185670,0,42,31,0,55,0,34,28,7,4,5,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000185880,0,1,0,1,45,14,18,2,378,38,394,88,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000185989,167,232,199,54,0,0,0,379,317,314,313,804,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000186019,88,15,102,33,0,82,19,0,131,117,155,184,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000186075,0,0,0,0,1,407,178,12,13,22,30,53,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000186153,19,0,63,0,108,118,0,74,73,128,143,154,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000186298,0,0,0,0,655,607,483,459,446,502,640,589,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000186522,0,0,29,48,0,0,0,0,20,1,47,78,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000186628,0,14,27,0,167,180,387,103,0,0,1,6,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000186654,1,55,61,75,53,0,0,31,55,15,2,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000186818,0,0,1,0,0,0,1,0,74,17,39,35,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000186891,23,185,215,11,0,0,1,0,36,18,7,28,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000186998,437,77,362,713,0,2,0,1,496,700,425,1279,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000187118,72,200,419,266,57,31,0,0,133,150,219,273,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000187416,0,7,3,40,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000187514,0,0,0,0,0,0,0,0,93,153,138,124,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000187796,17,357,76,45,0,0,0,13,93,61,56,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000187824,10,8,35,0,0,0,0,0,0,0,2,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000188215,17,0,80,27,0,20,0,0,23,6,29,15,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000188282,0,0,0,0,105,16,0,16,0,4,10,3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000188368,16,197,49,0,0,0,0,0,2,19,1,8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000188372,13,0,26,0,118,85,65,188,0,0,2,11,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000188747,0,17,6,0,701,297,533,586,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000188820,0,2,0,31,355,397,445,774,19,88,35,30,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000188868,0,0,10,19,0,0,0,1,25,10,23,24,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000188958,15,135,300,0,24,12,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000189058,0,0,2,0,143,135,256,98,4,0,4,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000189325,24,332,263,1,12,0,25,0,1,0,5,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000189339,1,0,19,0,21,83,60,8,15,8,16,16,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000189430,0,0,1,0,167,91,118,634,0,0,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
ENSG00000196110,0,13,2,0,9,9,0,17,1,2,3,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000196139,134,2,448,292,46,106,9,14,1,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000196357,17,20,5,0,0,23,21,0,0,0,7,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000196369,0,45,37,0,43,21,71,0,19,27,19,12,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000196372,100,323,166,35,0,0,0,0,0,14,9,37,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000196387,0,0,116,175,37,38,59,37,59,74,125,128,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000196388,0,28,10,45,0,0,0,0,3,4,6,17,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000196391,1,0,4,0,81,128,93,78,8,0,4,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000196421,0,0,4,0,0,0,2,6,927,12,1189,16,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000196428,13,131,152,147,0,0,49,14,55,64,70,81,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000196526,194,35,330,243,0,0,0,0,6,12,4,8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000196584,40,29,20,59,105,0,0,17,3,24,14,29,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000196597,0,0,4,74,12,0,20,6,21,51,16,18,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000196605,0,0,7,0,17,8,13,24,8,0,7,5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000197020,0,0,6,0,14,18,0,14,16,6,28,14,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000197124,0,0,0,0,0,23,14,25,12,0,3,7,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000197296,0,15,37,0,53,0,12,10,7,3,7,13,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000197471,18,86,16,69,0,0,0,0,35,48,31,43,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000197498,0,16,11,15,0,0,0,0,1,9,7,9,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000197584,8,0,17,371,0,0,1,0,6,1,8,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000197766,22,107,47,0,0,0,0,0,2,15,8,9,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000197794,2,1,220,0,0,138,0,218,0,1,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000197822,7,0,56,46,110,0,0,0,46,45,210,46,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000197859,126,326,128,186,0,1,0,0,6,0,2,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000197885,84,137,117,50,0,22,0,1,87,82,177,82,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000197958,0,1,1,0,12,0,0,0,94,344,260,393,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000197961,0,0,3,0,0,20,0,37,1,5,4,6,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000198034,770,2318,3193,684,0,0,30,0,1148,1311,841,2269,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000198075,47,25,19,160,0,19,0,0,0,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000198081,0,0,17,0,0,54,21,15,9,0,13,17,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000198093,13,13,6,0,0,20,0,1,10,8,4,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000198216,78,13,169,214,2,0,0,1,224,200,746,543,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000198242,0,4,2,23,0,0,30,0,308,477,545,504,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000198301,0,28,33,14,20,0,0,12,33,16,26,42,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000198498,12,68,36,0,0,0,21,0,76,17,54,94,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000198521,0,1,7,1,0,0,0,0,18,8,20,29,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000198692,0,0,0,0,424,461,345,280,0,0,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
ENSG00000198729,1,1,30,145,0,0,1,13,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000198734,0,0,8,0,150,189,235,228,0,1,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
ENSG00000198752,162,692,500,191,0,6,0,3,73,72,136,95,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000198759,1,0,3,0,197,181,25,114,1,3,1,24,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000198794,0,0,2,0,107,131,119,159,0,0,12,8,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000198805,51,209,281,75,0,0,0,0,129,76,171,195,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000198814,0,0,3,0,38,20,150,30,0,2,2,7,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000198821,0,4,0,0,635,908,1425,240,3,0,5,5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000198829,0,0,0,0,33,112,157,100,0,28,3,27,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000198851,0,0,0,0,18,1164,67,0,0,19,1,6,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000198853,120,201,201,210,0,42,0,24,3,8,1,7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000198856,0,38,2,0,174,260,262,160,85,126,275,166,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000198865,0,0,0,0,0,0,0,0,73,27,59,208,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000198874,0,0,0,0,0,0,0,0,4,5,4,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000198959,0,10,45,0,0,4,2,3,650,233,113,347,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000198960,0,0,22,4,11,40,0,6,2,21,28,5,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000198974,25,17,94,29,0,140,0,0,78,48,78,155,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000198981,12,0,48,0,0,16,0,0,23,44,29,52,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000198987,0,45,17,15,0,85,0,0,8,7,19,3,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000199023,9,0,40,17,0,43,0,17,38,54,62,142,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000199024,1,0,9,0,0,0,0,0,3,1,19,10,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000199047,0,20,9,64,0,71,0,0,8,10,18,9,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000199072,0,0,0,0,0,0,34,0,3,7,6,22,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000199082,29,204,190,70,0,17,1,0,8,26,40,85,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000199121,12,0,4,18,0,31,22,0,4,9,8,7,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000199122,13,0,42,26,0,20,0,0,4,0,3,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000199133,0,0,6,0,0,55,0,0,19,10,16,12,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000199150,0,24,0,0,1,16,0,0,1,3,28,14,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000199158,0,6,14,8,0,35,28,0,0,0,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000199165,0,0,4,0,18,0,0,1,9,49,39,41,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000199179,0,11,18,13,0,88,0,35,29,7,81,83,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000199245,0,2,0,0,2,2,3,2,25,21,40,21,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000199469,4,5,24,8,111,22,123,30,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000199744,0,0,1,0,0,3,25,1,0,0,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000199846,3,7,6,10,40,81,83,65,0,1,0,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000200185,0,0,1,0,18,53,96,15,0,0,1,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
ENSG00000200201,0,22,5,6,0,0,0,0,6,1,4,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000200231,10,53,59,40,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000200313,34,41,37,2,0,7,1,0,1,4,16,7,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000200566,0,0,0,0,12,3,1,6,0,0,1,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
ENSG00000200738,0,0,0,0,100,128,152,60,0,0,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
ENSG00000200816,0,3,1,1,0,34,24,11,0,0,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000201155,0,14,7,5,0,0,0,0,20,9,22,4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000201201,12,21,7,22,0,0,0,0,6,6,5,19,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000201229,0,0,0,0,15,24,12,38,0,0,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
ENSG00000201253,0,0,0,0,0,0,0,1,4,7,15,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000201483,0,0,0,0,0,0,0,0,50,25,32,33,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000201512,16,21,21,48,25,18,0,0,3,7,6,14,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
