,C18358,C18359,C3659,CPt91,R181.96,R249.97,R265.95,R290.96,H19127,H19137,H19144,H19147,chimp.expressed,rhesus.expressed,human.expressed,chimp.specific,rhesus.specific,human.specific
ENSG00000129559,14,59,45,39,0,0,76,0,252,232,389,396,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000129757,0,14,16,13,62,44,0,158,0,0,2,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000130021,143,348,438,103,0,0,0,1,232,248,207,426,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000130202,29,241,135,213,46,40,0,12,0,0,7,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000130544,0,0,12,0,17,0,17,34,10,14,12,18,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000130590,0,31,30,0,53,15,8,10,269,32,309,59,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000130635,0,0,8,4,0,0,0,4,1647,648,361,413,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000130741,9,46,26,11,0,0,0,0,59,89,90,95,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000130812,0,53,0,0,0,22,0,37,73,120,64,107,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000131037,21,0,42,0,261,123,253,601,7,8,3,8,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000131152,98,154,197,159,40,34,0,0,4,5,12,11,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000131187,58,152,81,63,1,0,0,0,111,83,56,67,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000131203,21,418,151,0,532,665,689,667,0,0,5,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000131379,0,25,0,0,845,392,634,411,0,1,1,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000131400,0,0,0,0,0,0,0,1,144,175,114,377,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000131482,8,14,64,74,0,44,0,17,14,13,59,137,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000131650,0,0,2,0,0,0,0,0,8,0,3,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000131771,0,0,1,0,558,23,258,369,2,0,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000131795,169,110,247,85,437,474,596,316,3,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000131941,0,0,0,0,0,0,0,0,9,0,5,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000132016,0,0,5,10,224,133,193,90,11,3,10,15,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000132199,59,38,143,86,0,1,0,0,40,101,132,176,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
